old_name,new_name,promportal_url,raw_url,collision_resolved
"Вал 1н983.20.294  .jpg","val_1n983.20.294.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_1n983.20.294.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_1n983.20.294.jpg",""
"Вал 1н983.20.294 .jpg","val_1n983.20.294_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_1n983.20.294_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_1n983.20.294_2.jpg","Yes"
"Вал 1н983.20.294.jpg","val_1n983.20.294_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_1n983.20.294_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_1n983.20.294_3.jpg","Yes"
"Вал зажима разжима кулачков - 1Н983.20.292     .jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292.jpg",""
"Вал зажима разжима кулачков - 1Н983.20.292    .jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_2.jpg","Yes"
"Вал зажима разжима кулачков - 1Н983.20.292   .jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_3.jpg","Yes"
"Вал зажима разжима кулачков - 1Н983.20.292  .jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292_4.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_4.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_4.jpg","Yes"
"Вал зажима разжима кулачков - 1Н983.20.292 .jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292_5.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_5.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_5.jpg","Yes"
"Вал зажима разжима кулачков - 1Н983.20.292.jpg","val_zazhima_razzhima_kulachkov_-_1n983.20.292_6.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_6.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/val_zazhima_razzhima_kulachkov_-_1n983.20.292_6.jpg","Yes"
"Валы шпиндельной бабки  .jpg","valy_shpindelnoy_babki.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/valy_shpindelnoy_babki.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/valy_shpindelnoy_babki.jpg",""
