old_name,new_name,raw_url,shifr,src_kb,dst_kb,status
4-х кулачковые механизированные патроны для обработки заготовок ф. 800мм.jpg,4-kh_kulachkovye_mekhanizirovannye_patrony_dlya_obrabotki_zagotovok_f._800mm.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/4-kh_kulachkovye_mekhanizirovannye_patrony_dlya_obrabotki_zagotovok_f._800mm.jpg,,533.9,73.4,OK
Барабан-копир на фартук станка 16К20.jpg,baraban-kopir_na_fartuk_stanka_16k20.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/baraban-kopir_na_fartuk_stanka_16k20.jpg,,437.4,49.0,OK
Блок герконовый для револверной головки уг9326.jpg,blok_gerkonovyj_dlya_revolvernoj_golovki_ug9326.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_gerkonovyj_dlya_revolvernoj_golovki_ug9326.jpg,,183.8,51.6,OK
Блок резцовый рт755ф3.42.000 и рт755ф3.43.000.jpg,blok_reztsovyj_rt755f3.42.000_i_rt755f3.43.000.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_reztsovyj_rt755f3.42.000_i_rt755f3.43.000.jpg,rt755f3.42.000,187.3,55.4,OK
Блок резцовый.jpg,blok_reztsovyj.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_reztsovyj.jpg,,198.5,55.7,OK
Блок шестерен шестерня и шлицевой вал фрезерного станка мод. фу400.jpg,blok_shesteren_shesternya_i_shlitsevoj_val_frezernogo_stanka_mod._fu400.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_shesteren_shesternya_i_shlitsevoj_val_frezernogo_stanka_mod._fu400.jpg,,212.5,62.0,OK
Блок шестерня второй оси м-4 з-35 з-36 1а64.02.841 для станков 1м65 1н65 дип500 165.jpg,blok_shesternya_vtoroj_osi_m-4_z-35_z-36_1a64.02.841_dlya_stankov_1m65_1n65_dip500_165.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_shesternya_vtoroj_osi_m-4_z-35_z-36_1a64.02.841_dlya_stankov_1m65_1n65_dip500_165.jpg,1a64.02.841,186.0,53.2,OK
Блок шестерня четвертой оси м-4 5 з-21 м-5 з-36 1а64.02.865 для станков 1м65 1н65 дип500 165.jpg,blok_shesternya_chetvertoj_osi_m-4_5_z-21_m-5_z-36_1a64.02.865_dlya_stankov_1m65_1n65_dip500_165.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/blok_shesternya_chetvertoj_osi_m-4_5_z-21_m-5_z-36_1a64.02.865_dlya_stankov_1m65_1n65_dip500_165.jpg,1a64.02.865,178.5,51.5,OK
Вал 10 -ти шлицевой 5-ой оси с шестернями 1м65 1н65 дип500 165 рт117 рт817 шпинделная бабка.jpg,val_10_-ti_shlitsevoj_5-oj_osi_s_shesternyami_1m65_1n65_dip500_165_rt117_rt817_shpindelnaya_babka.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/val_10_-ti_shlitsevoj_5-oj_osi_s_shesternyami_1m65_1n65_dip500_165_rt117_rt817_shpindelnaya_babka.jpg,,198.6,56.8,OK
Вал 1м63бф101.8.20.158.jpg,val_1m63bf101.8.20.158.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/val_1m63bf101.8.20.158.jpg,1m63bf101.8.20.158,149.9,43.8,OK
