=== ЛОГ СБОРКИ PromIndex-500-FINAL.yml (2026-05-29) ===

СВОДКА:
  Фото — точное совпадение : 37
  Фото — нечёткое          : 4
  Фото — по типу детали    : 0
  Фото — заглушка          : 358
  (уже имели фото, не тронуты): 101
  Описания обогащены z/m (из XLS): 45
  Кинематика не найдена (оставлено без z/m): 130

ДЕТАЛИ:
offer 1 | Колесо зубчатое 1М63Б.70.218 | ФОТО: zaglushka: Zaglushka.jpg
offer 2 | Колесо зубчатое 1Н65.71.154 | ФОТО: zaglushka: Zaglushka.jpg
offer 3 | Колесо зубчатое 1А64.02.942 | ФОТО: zaglushka: Zaglushka.jpg
offer 3 | Колесо зубчатое 1А64.02.942 | КИНЕМАТИКА: z = 34, m = 2, b = 15 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 4 | Валик 165.02.374 | ФОТО: zaglushka: Zaglushka.jpg
offer 4 | Валик 165.02.374 | КИНЕМАТИКА: не найдена (шифр 165.02.374) — описание оставлено без z/m
offer 5 | Вал фрикционный 1М63.21.391 | ФОТО: zaglushka: Zaglushka.jpg
offer 5 | Вал фрикционный 1М63.21.391 | КИНЕМАТИКА: не найдена (шифр 1m63.21.391) — описание оставлено без z/m
offer 6 | Колесо зубчатое 1М63.04.153 | ФОТО: exact: koleso_zubchatoe_-_1m63.04.153.jpg, koleso_zubchatoe_-_1m63.04.153_2.jpg, koleso_zubchatoe_-_1m63.04.153_3.jpg
offer 7 | Пиноль 1М63.03.224 | ФОТО: zaglushka: Zaglushka.jpg
offer 7 | Пиноль 1М63.03.224 | КИНЕМАТИКА: не найдена (шифр 1m63.03.224) — описание оставлено без z/m
offer 8 | Винт 1Н65.50.150 | ФОТО: zaglushka: Zaglushka.jpg
offer 9 | Колесо зубчатое 1А64.07.217 | ФОТО: zaglushka: Zaglushka.jpg
offer 10 | Колесо зубчатое 1Н65.30.158 | ФОТО: zaglushka: Zaglushka.jpg
offer 11 | Колесо зубчатое 1М63Б.70.223 | ФОТО: exact: koleso_zubchatoe_1m63b.70.223.jpg, koleso_zubchatoe_1m63b.70.223_2.jpg, koleso_zubchatoe_1m63b.70.223_3.jpg
offer 12 | Валик-колесо зубчатое 1Н65.60.168/1 | ФОТО: zaglushka: Zaglushka.jpg
offer 13 | Колесо зубчатое 1М63Б.70.216 | ФОТО: exact: koleso_zubchatoe_1m63b.70.216.jpg, koleso_zubchatoe_1m63b.70.216_2.jpg, koleso_zubchatoe_1m63b.70.216_3.jpg
offer 13 | Колесо зубчатое 1М63Б.70.216 | КИНЕМАТИКА: z = 28 (источник: кинематическая таблица станка 1М63 (077003d5))
offer 14 | Рейка 1М63.01.150 | ФОТО: zaglushka: Zaglushka.jpg
offer 15 | Шарико-винтовая пара (ШВП) СВ141П.11.00 | ФОТО: zaglushka: Zaglushka.jpg
offer 16 | Колесо зубчатое 1М63Б.08.167 | ФОТО: zaglushka: Zaglushka.jpg
offer 16 | Колесо зубчатое 1М63Б.08.167 | КИНЕМАТИКА: z = 73 (источник: кинематическая таблица станка 1М63 (077003d5))
offer 17 | Колесо зубчатое 16М50.70.156 | ФОТО: zaglushka: Zaglushka.jpg
offer 18 | Вал 1Н65.50.158 | ФОТО: zaglushka: Zaglushka.jpg
offer 18 | Вал 1Н65.50.158 | КИНЕМАТИКА: не найдена (шифр 1n65.50.158) — описание оставлено без z/m
offer 19 | Колесо зубчатое 1Н65.08.158 | ФОТО: zaglushka: Zaglushka.jpg
offer 20 | Муфта обгонная 1Н65.60.900 для фартука станка 1М65 (ДИП-500) | ФОТО: fuzzy: mufta_obgonnaya_1h65.60.900.jpg, mufta_obgonnaya_1h65.60.900_2.jpg, mufta_obgonnaya_1h65.60.900_3.jpg
offer 21 | Колесо зубчатое 1А64.06.393 | ФОТО: zaglushka: Zaglushka.jpg
offer 22 | Ось 1М63.08.189 | ФОТО: zaglushka: Zaglushka.jpg
